id,trigger,conditions,script,text,options,notes
# Trade panel flavor text,,,,,,
flavorTextMarketFireworksFactory,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == syndicate_asp
$market.id == fireworks_factory score:2","AddText ""The Factory's docking bay churns with belt miners, courier tugs, and exhausted crews moving ore under Syndicate schedules. Most operators earn just enough to return for another run after fees, fuel, and protection are settled. ASP Marines stand at every junction, polished armor reflecting work lights and bad decisions."" marketFlavorTextColor",,,
flavorTextMarketNomde,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == junk_pirates
$market.id == nomde_plume score:2","AddText ""N.O.M.D.E. never stops rumbling. Volatile-harvesting systems shake the decks hard enough to make polite conversation pointless, while personnel routes cross too near the gas conduits for comfort. New arrivals receive foam earplugs, breathing gear, and a station map with the unsafe sections marked in cheerful colors."" marketFlavorTextColor",,,
flavorTextMarketKarkov,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == junk_pirates
$market.id == karkov_academy score:2","AddText ""Karkov Academy shakes under the steady percussion of debris on armor. Welding drones drift beneath vaulted ceilings, patching the station faster than Breh'Inni can bruise it. Cadets in blue and red uniforms argue, drill, gamble, and pretend not to be afraid. Above them hangs the portrait of Karkov herself, a naval commander remembered with more enthusiasm than accuracy."" marketFlavorTextColor",,,
flavorTextMarketGlory,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == junk_pirates
$market.id == glory score:2","AddText ""The hab-tubes of Glory are never truly quiet. Laughter, argument, machine-song, and distant pressure groans move through bronze-tinged ceramic corridors. Public thoroughfares are crowded and loud; workshops and family spaces behind heavy doors fall silent as strangers pass. Everywhere, the red shadow of Breh'Inni is worked into paint, cloth, and metal."" marketFlavorTextColor",,,
flavorTextMarketEarBurns,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == independent
$market.id == ear_burns score:2","AddText ""Ear Burns is a branching maze of high-pressure, radiation-proof habs sunk into a near-star world. The air is thick, the walls sweat heat, and the pirates, brigands, and artists who live here are warmer to visitors than sense would suggest. Guests are given surprising freedom and treated with ritual respect, mostly because everyone knows a serious mistake can end with an airlock and the incandescent surface waiting a few dozen meters below."" marketFlavorTextColor",,,
flavorTextMarketPaddington,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == syndicate_asp
$market.id == paddington score:2","AddText ""Paddington sells itself constantly: courier reliability, clean berths, low fees, fast contracts, smiling agents. The adverts are bright enough to feel medicinal. The locals look healthy, busy, and careful with their words, especially near the corridors where ASP security stops wearing customer-service colors."" marketFlavorTextColor",,,
flavorTextMarketYogi,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == independent
$market.id == yogi score:2","AddText ""Yogi smells overwhelmingly of soap, a fortunate by-product of the chemical filtration plants hidden beneath its parks, roof-gardens, and managed wilderness."" marketFlavorTextColor",,,
flavorTextMarketDartmouth,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == junk_pirates
$market.id == dartmouth score:2","AddText ""Dartmouth's dormant hab-tubes feel like a held breath. The corridors are colder, quieter, and less certain than those of Glory, with old Domain ceramics exposed beneath newer Junk repairs. Locals speak softly here, as if the station is sleeping rather than dead."" marketFlavorTextColor",,,
flavorTextMarketChristchurch,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pack
$market.id == christchurch score:2","AddText ""Christchurch carries the sound of a society unpacking itself. The main tubes are orderly, sparse, and crowded with work crews marking doors, ration points, and militia posts with the three-toed paw. Locals speak of the Exodus as if it is both a victory and a bill that has finally come due."" marketFlavorTextColor",,,
flavorTextMarketPetra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pack
$market.id == petra score:2","AddText ""A woven Three-Toed Paw hangs at the dock gate, old enough to be tradition and new enough to smell of fresh dye. The locals welcome visitors with careful warmth, then point out the forbidden areas with absolute seriousness. A public holo-loop advertises opportunities on Christchurch while the poisoned sky of Petra presses against every external camera feed."" marketFlavorTextColor",,,
flavorTextMarketFinnigans,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == finnigans score:2","AddText ""Finnigans is busy with freighters, light escorts, and ore-haulers working the belt. Inventory holos blink above the docks while automated cranes and drone-shuttles slide along rails, sorting kilotons of asteroidal wealth into piles that are almost certainly already owed to someone else."" marketFlavorTextColor",,,
flavorTextMarketBearspit,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == bear_pit score:2","AddText ""Visitors are less common at this sparsely populated station, and the folk around the place tend to smile in a sinister way. Hawkers hand out invites to phenomenally expensive no-rules fight events, giving away luridly coloured drinks in bulbous smoking vials to sweeten the invite. Unexplained dark stains streak against most walls."" marketFlavorTextColor",,,
,,,,,,
